Date,VegetableType,Distrcit,Rainfall,MaximumTemperature,MinimumTemperature, RelativeHumidity,Pressure,Extent_Prediction,Production_Predict
1/7/19,beans,kandy,536.5930571,28.72,22.08,82.17,96.02,23.54,153.12
1/14/19,beans,kandy,515.3188571000001,28.83,21.86,81.79,96.03,23.99,144.2
1/21/19,beans,kandy,496.3225857,28.93,21.59,81.5,96.04,24.73,155.96
1/28/19,beans,kandy,470.47567139999995,29.11,21.67,81.1,96.05,25.5,152.19
2/4/19,beans,kandy,283.5057,32.61,22.51,76.66,96.15,33.61,205.45
2/11/19,beans,kandy,372.36274289999994,30.87,22.24,79.13,96.1,28.99,173.05
2/18/19,beans,kandy,375.0480857,30.8,22.23,79.16,96.1,28.89,163.88
2/25/19,beans,kandy,271.86245710000003,32.86,22.56,76.53,96.16,44.12,205.56
3/4/19,beans,kandy,676.1317429,28.2,21.51,83.97,95.98,21.11,166.12
3/11/19,beans,kandy,656.8958,28.24,21.53,83.69,95.99,21.4,121.16
3/18/19,beans,kandy,492.9050571,28.93,21.59,81.48,96.04,24.78,142.69
3/25/19,beans,kandy,413.74411430000004,29.43,22.13,80.22,96.08,27.26,163.74
4/1/19,beans,kandy,784.2591286,27.86,21.27,85.23,95.95,19.74,108.3
4/8/19,beans,kandy,3583.361829,25.07,16.79,93.09,95.7,8.86,34.99
4/15/19,beans,kandy,782.0544571,27.86,21.28,85.21,95.95,19.76,108.48
4/22/19,beans,kandy,314.77914289999995,31.74,22.42,77.77,96.13,32.18,186.62
4/29/19,beans,kandy,404.5679857,29.45,22.14,80.06,96.08,27.59,165.81
5/6/19,beans,kandy,879.5622429,27.64,21.01,86.09,95.93,18.69,163.58
5/13/19,beans,kandy,679.1252,28.17,21.48,84.01,95.98,21.1,128.39
5/20/19,beans,kandy,680.2005857,28.16,21.48,84.02,95.98,21.1,123.56
5/27/19,beans,kandy,549.1168857000001,28.66,22.05,82.4,96.02,23.27,135.53
6/3/19,beans,kandy,3405.426171,25.24,17.03,92.83,95.72,9.39,38.81
6/10/19,beans,kandy,2523.114857,25.9,18.2,91.4,95.78,12.13,65.02
6/17/19,beans,kandy,489.0714857,28.97,21.62,81.4,96.04,24.93,145.51
6/24/19,beans,kandy,318.8524,31.56,22.39,77.83,96.13,31.77,190.38
7/1/19,beans,kandy,5629.635771,23.83,15.84,95.46,95.65,6.48,26.95
7/8/19,beans,kandy,305.9924571,31.96,22.44,77.29,96.14,32.59,176.48
7/15/19,beans,kandy,1892.913414,26.55,19.28,90.07,95.82,13.76,73.62
7/22/19,beans,kandy,829.9737857000001,27.77,21.18,85.59,95.95,19.29,106.14
7/29/19,beans,kandy,410.0052,29.44,22.14,80.12,96.08,27.38,164.45
8/5/19,beans,kandy,123.8900429,30.16,23.02,71.61,96.26,34.83,308.52
8/12/19,beans,kandy,398.06274289999993,29.46,22.17,79.86,96.08,27.88,167.74
8/19/19,beans,kandy,136.8038429,30.06,22.96,72.2,96.25,36.4,295.03
8/26/19,beans,kandy,196.7802286,29.88,22.79,74.28,96.2,44.11,269.86
9/2/19,beans,kandy,579.2555143,28.55,22.01,82.68,96.01,23.0,153.01
9/9/19,beans,kandy,435.6431857,29.31,21.77,80.59,96.07,26.51,158.33
9/16/19,beans,kandy,360.0850857,31.05,22.28,78.96,96.11,29.59,177.52
9/23/19,beans,kandy,152.7554714,30.0,22.91,72.68,96.24,42.77,276.77
9/30/19,beans,kandy,1042.733857,27.33,20.79,87.14,95.91,17.6,105.22
10/7/19,beans,kandy,246.9748286,30.65,22.63,75.33,96.17,48.18,224.76
10/14/19,beans,kandy,744.1914857,27.93,21.36,84.89,95.96,20.3,111.51
10/21/19,beans,kandy,122.98371429999999,30.2,23.03,71.54,96.26,34.92,297.29
10/28/19,beans,kandy,335.84132860000005,31.35,22.35,78.06,96.11,30.71,181.05
11/4/19,beans,kandy,464.2986,29.15,21.71,81.03,96.05,25.74,161.36
11/11/19,beans,kandy,701.1893286000001,28.08,21.44,84.38,95.98,20.8,118.03
11/18/19,beans,kandy,333.4142,31.37,22.35,78.03,96.12,30.98,187.32
11/25/19,beans,kandy,576.5952571,28.59,22.01,82.65,96.01,23.0,163.79
12/2/19,beans,kandy,869.6145286000001,27.67,21.05,85.91,95.94,18.8,102.88
12/9/19,beans,kandy,2705.461971,25.7,17.89,91.95,95.77,11.67,187.18
12/16/19,beans,kandy,3356.2872429999998,25.29,17.13,92.66,95.73,9.97,42.03
1/0/00,beans,badulla,0.0,0.0,0.0,0.0,0.0,120.97,1082.72
1/1/00,beans,kandy,0.0,0.0,0.0,0.0,0.0,21.92,520.5
1/2/00,beans,matale,0.0,0.0,0.0,0.0,0.0,3.89,328.76
1/3/00,beans,nuwaraeliya,0.0,0.0,0.0,0.0,0.0,54.04,1683.1
1/4/00,beans,ratnapura,0.0,0.0,0.0,0.0,0.0,6.62,327.58
1/5/00,beetroot,badulla,0.0,0.0,0.0,0.0,0.0,6.57,128.86
1/6/00,beetroot,kandy,0.0,0.0,0.0,0.0,0.0,5.2,62.98
1/7/00,beetroot,matale,0.0,0.0,0.0,0.0,0.0,15.97,194.35
1/8/00,beetroot,nuwaraeliya,0.0,0.0,0.0,0.0,0.0,51.8,829.8
1/9/00,beetroot,ratnapura,0.0,0.0,0.0,0.0,0.0,9.02,37.72
1/10/00,carrot,badulla,0.0,0.0,0.0,0.0,0.0,25.79,601.27
1/11/00,carrot,kandy,0.0,0.0,0.0,0.0,0.0,7.72,55.57
1/12/00,carrot,matale,0.0,0.0,0.0,0.0,0.0,7.43,6.33
